token,pilot_count,full_corpus_count,full_corpus_pages,dominant_section
okshy,1,11,10,H
okem,1,1,1,C
okchedy,1,24,18,S
eeekchedy,1,1,1,C
ofchdor,1,1,1,C
qotchdy,1,23,19,S
chekolkoiph,1,1,1,C
ofary,1,1,1,C
okady,1,2,2,C
kary,1,5,5,H
eey,1,7,6,H
opodchdal,1,1,1,C
darchdy,1,1,1,C
otl,1,2,2,C
xasashe,1,1,1,C
aikhe,1,1,1,C
ockhedy,1,7,7,S
sheda,1,1,1,C
toor,1,1,1,C
chepar,1,3,3,H
opchdar,1,2,2,C
a,1,15,13,C
xar,1,4,4,S
opor,1,7,7,B
okalm,1,1,1,C
afalairidy,1,1,1,C
okaramal,1,1,1,C
ofdoram,1,1,1,C
oda,1,1,1,C
ofchdar,1,1,1,C
otedam,1,4,4,S
lokedshs,1,1,1,C
xoltedy,1,1,1,C
opchdam,1,1,1,C
oporam,1,1,1,C
chdain,1,9,9,H
opaihefchdy,1,1,1,C
aiird,1,1,1,C
oteoly,1,3,3,H
ofodady,1,1,1,C
opdady,1,1,1,C
otodey,1,1,1,C
otodedy,1,1,1,C
opchdain,1,2,2,C
okair,1,20,17,S
keeedy,1,7,6,B
olkchedy,1,5,4,S
xdar,1,1,1,C
saldan,1,1,1,C
okalar,1,4,4,Z
ofaraiin,1,1,1,C
okolar,1,4,4,C
otosaiin,1,1,1,C
otchdam,1,1,1,C
lashalg,1,1,1,C
otodeed,1,1,1,C
chekaiin,1,10,8,H
oees,1,12,10,H
oiir,1,7,7,H
chchdam,1,1,1,C
chetey,1,7,7,H
otodches,1,1,1,C
oteesey,1,1,1,C
opal,1,10,9,S
okedaiin,1,4,4,S
oror,1,8,8,B
oxalda,1,1,1,C
osaram,1,1,1,C
oparodam,1,1,1,C
opchody,1,3,3,C
chepchey,1,3,3,S
osshy,1,1,1,C
ofar,1,7,6,H
chefaiin,1,2,2,H
teoor,1,1,1,C
chekor,1,1,1,C
olchety,1,1,1,C
qokcho,1,11,9,H
chfady,1,1,1,C
oro,1,6,6,H
okeechy,1,2,2,C
tolfchd,1,1,1,C
saiir,1,4,4,C
roo,1,1,1,C
ardas,1,1,1,C
oparod,1,1,1,C
shckhdy,1,3,3,H
tshda,1,1,1,C
opchd,1,2,2,H
opchsy,1,1,1,C
otorchety,1,1,1,P
orald,1,1,1,P
oldar,1,7,6,H
dorsheoy,1,1,1,P
qockhey,1,18,16,P
dory,1,4,4,H
sholfchor,1,1,1,P
chcthol,1,1,1,P
ral,1,18,16,B
sheom,1,3,3,H
keol,1,21,19,H
shekor,1,1,1,P
qokor,1,32,28,S
cheeor,1,16,16,H
doleeey,1,1,1,P
cheojam,1,1,1,P
yokeody,1,1,1,P
qoor,1,10,9,P
cheeb,1,3,3,H
ykeor,1,6,5,H
oram,1,11,11,S
dary,1,23,20,H
sorory,1,1,1,P
otyda,1,1,1,P
koaiphhy,1,1,1,P
orchor,1,1,1,P
pcheoly,1,1,1,P
salsaly,1,1,1,P
dchey,1,17,17,H
chokol,1,4,4,P
qockhol,1,8,8,P
chosals,1,1,1,P
olsheody,1,1,1,P
shoikhy,1,4,4,P
sheoldg,1,1,1,P
chorcholsal,1,1,1,P
ofyskydal,1,1,1,P
ofaldo,1,1,1,P
poeear,1,1,1,P
sheoky,1,7,7,S
poldy,1,1,1,P
oldal,1,2,2,P
ykar,1,36,28,H
alsy,1,1,1,P
kchor,1,20,20,H
ykeeey,1,6,6,S
chetchy,1,4,4,H
ofal,1,2,2,P
qoekeor,1,1,1,P
okaradag,1,1,1,P
darar,1,2,2,S
aro,1,1,1,P
ralol,1,1,1,P
skeeal,1,1,1,P
okolo,1,2,2,B
pcheody,1,5,4,S
cpheey,1,2,2,A
tshol,1,6,6,H
cfheol,1,2,2,P
saroshy,1,1,1,P
kolsheol,1,1,1,P
qoeol,1,5,5,P
sholkol,1,1,1,P
ckhory,1,1,1,P
dcheor,1,4,4,H
chr,1,8,7,H
yckhy,1,1,1,P
ckhor,1,9,9,H
qokeeor,1,8,8,S
chory,1,11,11,H
